pl_name,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_rade,hostname,st_teff,st_rad,st_mass
"Kepler-610 b",0.0719000000,0.000000,0.05140000,4.19000000,"Kepler-610",5943.00,1.130000,1.100000
"Kepler-1053 b",0.0315000000,0.000000,0.00284000,0.98000000,"Kepler-1053",4529.00,0.690000,0.740000
"Kepler-1932 b",0.0123000000,0.000000,0.00914000,1.51482218,"Kepler-1932",5278.00,0.815000,0.911000
"Kepler-340 c",0.1780000000,0.000000,0.03550000,3.37000000,"Kepler-340",6620.00,1.850000,1.650000
"Kepler-940 b",0.3059000000,0.000000,0.03500000,3.34000000,"Kepler-940",5769.00,0.960000,0.970000
"Kepler-524 c",0.0304600000,0.000000,0.00264000,0.96000000,"Kepler-524",6014.00,1.100000,1.090000
"Kepler-534 c",0.0761000000,0.000000,0.00637000,1.22700000,"Kepler-534",5936.00,0.965000,1.075000
"Kepler-647 b",0.1223700000,0.000000,0.00537000,1.17000000,"Kepler-647",6020.00,1.070000,1.030000
"GJ 317 c",5.0400000000,0.217000,1.43000000,13.60000000,"GJ 317",3496.00,0.403000,0.402000
"Kepler-130 b",0.0790000000,0.150000,0.00328000,1.02000000,"Kepler-130",5884.00,1.127000,0.927000
"Kepler-1955 b",0.1195900000,0.000000,0.00531000,1.16654878,"Kepler-1955",5825.00,1.291000,1.049000
"K2-154 b",0.0405000000,,0.01450000,1.99000000,"K2-154",4097.00,0.630000,0.650000
"Kepler-1869 c",0.0280000000,0.000000,0.00104000,0.74000000,"Kepler-1869",5808.00,0.902000,0.987000
"Kepler-537 b",0.0431700000,0.000000,0.00809000,1.41000000,"Kepler-537",5763.00,0.990000,1.070000
"Kepler-1546 b",0.1366000000,0.000000,0.03130000,3.13000000,"Kepler-1546",5623.00,0.930000,0.950000
"HD 106515 A b",4.4800000000,0.571000,18.90000000,12.10000000,"HD 106515 A",5362.00,0.910000,0.890000
"Kepler-1030 b",0.1338000000,0.000000,0.02110000,2.48000000,"Kepler-1030",4983.00,0.760000,0.800000
"TOI-125 d",0.1370000000,0.168000,0.04279017,2.93000000,"TOI-125",5320.00,0.848000,0.859000
"HATS-13 b",0.0405700000,0.181000,0.54300000,13.58530800,"HATS-13",5523.00,0.887000,0.962000
"WASP-47 e",0.0167300000,0.000000,0.02831717,1.83000000,"WASP-47",5565.00,1.156000,1.058000
"TOI-4379 b",,0.018000,1.11300000,16.69017226,"TOI-4379",6020.00,1.976000,1.372000
"TOI-198 b",0.1000000000,,0.00839000,1.44000000,"TOI-198",3650.00,0.441000,0.467000
"K2-28 b",0.0214000000,0.000000,0.01890000,2.32000000,"K2-28",3214.00,0.288000,0.257000
"L 98-59 c",0.0309000000,0.002000,0.00629270,1.32900000,"L 98-59",3415.00,0.315500,0.292300
"TOI-500 d",,0.016000,0.10420717,6.35000000,"TOI-500",4440.00,0.678000,0.740000
"HD 155918 b",0.0300000000,0.194000,0.02400000,2.67000000,"HD 155918",5771.84,1.019060,1.030000
